term,expected_effect,estimate,std_error_clustered,p_value,q_value_bh,ci_95_low,ci_95_high,recovery_error,abs_recovery_error
has_gap,-0.45,-0.4499999999999976,9.767593346718477e-16,0.0,0.0,-0.4499999999999995,-0.44999999999999574,2.3869795029440866e-15,2.3869795029440866e-15
has_gap:frontline,0.0,-4.440892098500626e-16,1.5556514985167467e-15,0.7752853769314213,0.7752853769314213,-3.4931101194386514e-15,2.604931699738526e-15,-4.440892098500626e-16,4.440892098500626e-16
nontraditional,-0.15,-0.15000000000000016,9.76759334671848e-16,0.0,0.0,-0.15000000000000208,-0.14999999999999825,-1.6653345369377348e-16,1.6653345369377348e-16
nontraditional:frontline,0.0,1.970645868709653e-15,1.5556514985167457e-15,0.20523910086430808,0.41047820172861615,-1.078375040878934e-15,5.01966677829824e-15,1.970645868709653e-15,1.970645868709653e-15
